date_info,name,title,content,rating
Reviewed in India on 23 June 2019,Amazon Customer,Damaged product.,Damaged product received. The power or heating light does not turn on. Received a more damaged product in exchange with broken handle. Returning it now.,1.0 out of 5 stars
Reviewed in India on 2 August 2020,Amazon Customer,Quality of product is as cheap as its price,Since the cost is less you might be tempted to go for this but it does not air fry the items deep inside only on the above surface. Better go for phillips . Also it gives a smell of burning plastic when used.,1.0 out of 5 stars
Reviewed in India on 23 January 2020,Leon,Seems to be good,I have just received the product and used it a couple of times. Serves the purpose. Will update later,4.0 out of 5 stars
Reviewed in India on 27 October 2020,Pravesh Aggarwal,Truly amazing product,Bought this product less than a month ago and tried it a couple of times.. I'm enjoying lot of frozen and other items which we are able to make absolutely non-sticky and non-oily. Fully recommend this product. It's so easy to use and it doesn't spoil the flavour of the items.,4.0 out of 5 stars
Reviewed in India on 24 May 2021,Abhishek,Review after first day use.,Delivery was a bit delayed due to lockdown restrictions.. First Use - Cake - Things went well. Tried making Puris thereafter - but not upto the mark. Will try other dishes soon.. P.S - Smelled of Burning Plastic on first use.,4.0 out of 5 stars
Reviewed in India on 2 April 2021,Dr Siddhartha,My bad luck,Received a non working set which was neither replaced nor refunded,1.0 out of 5 stars
Reviewed in India on 26 October 2020,shashikant kabra,Good and easy to use product,Product quantity is good and it's easy to use without demo you can make out how to use..best product in this price range. Product is good for mid size family.good job Inalsa. Once will use more will share details,5.0 out of 5 stars
Reviewed in India on 19 July 2019,Sanjay Sharma,Bad Quality,I think I made a mistake buying this... Right side of the body is damaged as mentioned in one of the reviews also... Asked to replace... Don't know if the the replacement piece shall be ok or damaged... fingers crossed,1.0 out of 5 stars
Reviewed in India on 9 May 2021,Ankit Mathur,Overall nice,Overall its good product and in good size if we compare with other brands price. Only issue I found is with the timmer nob which sometimes stops automatically and when i touch or press it again it starts working again.,3.0 out of 5 stars
Reviewed in India on 28 August 2020,NIKHIL KHANNA,Worth the money,Was very sceptical at first but with the 4 star rating of amazon took the chance of ordering this instead of the Philips one and was very happy to receive this. It has been working very nicely till now and there are some very happy eaters at my home.. Cheers !!,5.0 out of 5 stars
Reviewed in India on 17 August 2020,nitin bhawsar,Easy cooking quality is not good,Good-. On-time delivery.. Cooking is easy.. Bad-. Plastic quality is not up to the mark.. In first use the lock of bucket gets locked which was unable to open.,3.0 out of 5 stars
Reviewed in India on 1 April 2021,Aakanksha Jain,Good product!,Good product though I had to replace the first product delivered to me as it was broken inot pieces when delivered. I wish the cooking booklet had some more vegetarian recipes too as not everyone is a non vegetarian.,3.0 out of 5 stars
Reviewed in India on 3 May 2019,Gagan Lamba,Easy to use and clean,Reasonable price as compared to other brands. Works quite well. Loving the amazing food that my wife cooks in this. Aloo tikki is cooked perfectly im it.,5.0 out of 5 stars
Reviewed in India on 31 October 2020,Amazon Customer,Superb,"Extremely convenient, can be fried without any oil. It's been 3 days that I got it and have cooked frozen snacks and fish fry. Both turned out to be crispy and tasty as of fried in oil.. Will post again after few days of use.",5.0 out of 5 stars
Reviewed in India on 26 September 2020,Cheryl Saldanha,Poor quality product,Poor quality product. The rivets used are rusting and the pan's non stick coating is peeling. The after sales service is extremely slow and unresponsive,1.0 out of 5 stars
Reviewed in India on 24 September 2020,Amazon Customer,Think before you purchase.,The product was delivered on 19th aug 2020 and from 15th Sept 2020 it stopped working. Tried contacting customer care but nobody picked up the call till today . Have lodged complain but its disheartening to buy and within 25 days it stops workng .,1.0 out of 5 stars
Reviewed in India on 4 May 2021,hirendra singh,Inferior Quality,Product which got delivered was faulty it wasnt heating. I wud recommend not to opt Inalsa better spent another 2k n buy havells or Philips lastly u will have peace of mind.,1.0 out of 5 stars
Reviewed in India on 23 May 2021,Riten,Instruction with picture,Like the product. Noiseless while operating.. Improvement required:. 1. Add a sound buzzer when the timer has completed the course.. 2. Manual will be more useful if operation is explained with sketch or picture,4.0 out of 5 stars
Reviewed in India on 19 February 2021,anil,Value for money,"Excellent product, very crisp fries, spring rolls with virtual no difference in taste but more healthy. Easy to use & maintain.",5.0 out of 5 stars
Reviewed in India on 11 August 2020,Achal,Great product with no oil requirements,Absolutely loving it.. Tried the french fries and they are simply awesome. I used only few drops of oil and some herbs. Within 15 minutes the fries were perfectly crispy.. I will try some more recipes and keep posting further.. Really happy.,5.0 out of 5 stars
Reviewed in India on 8 October 2020,Praveen Chowdhary,Coating of the cooking pan removed with first cooking.,Ordered for my sister in law in Pune. Coating of the cooking pan removed with first cooking.,3.0 out of 5 stars
Reviewed in India on 8 October 2020,Arvind,Good one,They get heated soon and are good. I made french fries and they came out good,5.0 out of 5 stars
Reviewed in India on 10 August 2020,Anil Baranwal,A great product,"It is quite an easy to use product that makes the food tasty without comprising the health, the flavours are exactly the same as of deep frying them. Overall a great product",4.0 out of 5 stars
Reviewed in India on 15 October 2020,Prabir Kumar Banerjee,real disappointment,only after a few uses the fitting of the drawer was not connecting. so now we have to put a wad of paper so that the point connects and then the fryer works. never again.,2.0 out of 5 stars
Reviewed in India on 23 April 2021,Vish jayaraman,Great buy,Amazing product. It has just been a week since I own it but already loving everything about it. Very easy to clean. Great but.,4.0 out of 5 stars
Reviewed in India on 8 April 2021,Bindu,Oil free /oil less cooking,Quite handy and easy to use n clean too. I bought it for oil free or less oil cooking specially. And finding it much suitable .,5.0 out of 5 stars
Reviewed in India on 4 December 2020,Divya Vohra,Worth Buying,Easy to use and friendly. Good Capacity. worth buying product,5.0 out of 5 stars
Reviewed in India on 31 January 2021,Vinod khanna,Inalsaaaaaaa,In product only one think is -ve the main neck is weak anytime break,2.0 out of 5 stars
Reviewed in India on 1 November 2020,Manoj Kumar,Taste with health,It cooks really well. Very convenient and healthy way of cooking.,5.0 out of 5 stars
Reviewed in India on 19 June 2019,K K,Decent Buy,Product is easy to use. Decent value for money. The market however has more advanced air friers with electronic controls at comparable prices.,4.0 out of 5 stars
Reviewed in India on 31 July 2020,Amazon Customer,Warranty card and instructional manual missing,Got the product yesterday and opened the box today. To my surprise did not find the instructional manual and warranty card. Wondering if I got a used/returned piece. Also how do I get the missing papers,2.0 out of 5 stars
Reviewed in India on 25 January 2019,Rakesh Kumar Gupta,Excellent,Good product and also delivered on time. Recommended,5.0 out of 5 stars
Reviewed in India on 24 October 2020,Aman Verma,An awesome Air Fryer which is easy to use and does the job,Inalsa Fry Light Air fryer is easy to use and do the job well. At the current price its a steal. Guys u can go for this incredible air fryer.,5.0 out of 5 stars
Reviewed in India on 23 March 2021,Pratik,Good Product,I had to replace 1st product that I received. Since it was damaged and had a lot of scratches. The 2nd one I received was perfect and it works great.,4.0 out of 5 stars
Reviewed in India on 8 December 2020,Nitin,Need to buy and gift,Very Nice and easy to use and also inalsa have own app to handle any type of query..this is my first experience and it was very Good. We made French fries and pizza and really amazing testy,5.0 out of 5 stars
Reviewed in India on 8 November 2020,Mridushi,Heathy Alternative,"I tried fries, garlic bread and fritters. With right recipe, air fryer can do wonders. Not as good as fried food but still good enough given the heath benefits. Good product by Inalsa for this price range.",4.0 out of 5 stars
Reviewed in India on 22 July 2020,anoop kumar,Poor kitchen appliance-.Inalsa Airfrier,"Iti purchased Inalsa airfrier in june'20, but it stopped working within less than two months ( during 3rd use). How can I avail warrenty. It is NOT a return for money spent",4.0 out of 5 stars
Reviewed in India on 19 February 2021,Jesno,Good,I have been using this airfryer from inalsa from last month.I think its good for this price range.The only problem I felt is that it overheats if used for a long time,4.0 out of 5 stars
Reviewed in India on 3 September 2020,Tanaji Jadhav,It's a good product.,Really easy to use. It cooks almost everything so quickly and oil-free. The only complaint I have with the product is the coating. I wish the coating didn't come off that quickly and easily... Overall it's worth the price!,4.0 out of 5 stars
Reviewed in India on 22 January 2021,Ashish S.,Great,The product was looking great. Easy to use. Easy to clean. Just unwrap ours new inalsa air flyer.,5.0 out of 5 stars
Reviewed in India on 27 February 2021,Ruchi,Good product,"It is a good product, reasonably priced. It is very easy to operate and cleaning is hassle free. Gives good flavour with little oil.. But the plastic quality could be better",4.0 out of 5 stars
Reviewed in India on 31 October 2020,NATURE TREASURE ( YOUTUBE CHANNEL),Worth buying,Very nice product..easy to use..it make great cakes.. worth the price..I highly recommend this.,4.0 out of 5 stars
Reviewed in India on 26 August 2020,NAVDHA MITTAL,Smart and Useful for oil free cooking,"Beautiful look with smart design. Easy to use. Useful for healthy cooking. Though it is a Spain product but Like other Most of the air fryers ,it is also made in china . Please start production in India.",4.0 out of 5 stars
Reviewed in India on 20 February 2021,Ajay,Very Useful,"Excellent product, value for money",5.0 out of 5 stars
Reviewed in India on 26 October 2020,J,Fryer review,Thanks Inalsa for helping us with this new Air Fryer to help us live a more healthier lifestyle by reducing the oil content from our daily food.. Product seems to be quite good with simple to use operations.,4.0 out of 5 stars
Reviewed in India on 22 March 2021,Luthra,Excellent product.,Easy to use and best.,5.0 out of 5 stars
Reviewed in India on 18 January 2021,Amazon Customer Sandeep ,Great product and an Amazing price.,Really enjoyed using it and enjoyed more eating what I cooked. Really happy. Wish I had ordered it earlier. Just go through the instructions and you will realise that it is so simple to use.,5.0 out of 5 stars
Reviewed in India on 16 August 2020,MS,Does its work efficiently..,I am happy with my purchase. Excellent product in this price range. Thanks Inalsa..,5.0 out of 5 stars
Reviewed in India on 22 May 2021,Aditi,Inalsa air fryer,It's an amazing product with a very reasonable price. The air fryer quantity is also very apt it's not that big to be bulky and not that small as other companies product. I loved it,5.0 out of 5 stars
Reviewed in India on 11 November 2020,SHINE,A boon for health conscious people,it is an awesome product. I love the dishes that come out of it .it's very crispy. much better than i expected. MY FAMILY CAN EAT HEALTHY FRIED FOOD !,5.0 out of 5 stars
Reviewed in India on 16 August 2020,Manish Kapoor,Poor product and service by Amazon,Very badly handled by Amazon delivery. No warranty card. No bill. Seems that product is used. I decided to return immediately. Friends buy from local shop . Its better,1.0 out of 5 stars
Reviewed in India on 5 April 2021,KRISHNAKUMAR G,Good and kitchen worthy.,"The product was superb. We made French fries, carrot sticks and Cauliflower fries. It was very good.. Very easy to use. The bell was the highlight since it reminds us.",5.0 out of 5 stars
Reviewed in India on 3 August 2020,HR,No heat no cooking,"Excitement lost AirFryer is not heating at all as required... Not even 10* heat wasted time, energy, money need replacement and assistance... If this company Product is not worth need money back.",1.0 out of 5 stars
Reviewed in India on 12 August 2020,Hasib alam,BUY BUY...,Worked perfectly well...liked it...hope so it will wrk fine in the future too...worth purchase 🧡,5.0 out of 5 stars
Reviewed in India on 28 December 2020,Neha,Must give,Make men in house cook. Teach them . One two three. .lol.. and wait for some creativity or mess in kitchen.,5.0 out of 5 stars
Reviewed in India on 6 August 2020,Susmitha,Very nice product,"Easy to use, bakes even cakes well. But ideal for frying.",4.0 out of 5 stars
Reviewed in India on 26 October 2020,Dhruv,Inalsa air fryer,Great product for health conscious people who wanted to have taste in food nd want to have good food. Received today and used today. Easy to use and very sturdy and strong product.,5.0 out of 5 stars
Reviewed in India on 16 January 2021,Pallabi,Good product in reasonable price 👌,"Looks wise it is very good, capacity is also great,easy to use, easy to clean..Made some French fries which turned out to be very tasty let's see what happens in long term use.",5.0 out of 5 stars
Reviewed in India on 9 August 2020,Yash,Excellent product.,"Quick delivery by Amazon. Got it at a great price. Excellent product, very easy to use. The box also contains a very thorough instruction manual and a cook book. Provides a wonderful cooking experience.",5.0 out of 5 stars
Reviewed in India on 13 October 2020,Bhupesh,A Value for Money Air Fryer,It's a value for money air fryer. Cooks well and is easy to use. It is much cheaper than Phillips and has 2 years warranty. You can very replace it again in few years at this price.,4.0 out of 5 stars
Reviewed in India on 3 May 2021,Amazon Customer,Great Product,"It is easy to use . We tried french fries and it came out beautifully, with just a tablespoon of oil . Looking forward to try out the suggestions in the recipe book 😌",5.0 out of 5 stars
Reviewed in India on 3 February 2021,Amazon Customer,Ease of use,Got it a week back. Used a couple of times to make aloo patte and cheese balls.. Very easy to use. Taste comes out great.. Recommend the product!,5.0 out of 5 stars
Reviewed in India on 16 August 2020,naman,A handy product... Guranteed Good health,"The product has a nice built. The oil consumption has decreased by multifold, and that is reall healthy.. Till now, the functionality has been easy to use.. A good buy overall",4.0 out of 5 stars
Reviewed in India on 23 May 2021,Amazon Customer,Value for money,"Easy to clean, easy to use.. Value for money.",5.0 out of 5 stars
Reviewed in India on 26 April 2021,Sumit,Consumer friendly product,"It is a good product which has very clear instructions. The air fryer is easy to use and very convenient, it only takes like one attempt to get used to the product",5.0 out of 5 stars
Reviewed in India on 11 November 2020,jyoti shah,You could make the product better by making a change to the release lever.,The product is OK.. It has a difficult handle and one tends to forget not to press the release lever while handling the hot food.,3.0 out of 5 stars
Reviewed in India on 18 November 2020,Girish Chandra,Product is good,Product is good but. Packing of the product was very bad. There was no extra amazon safety packing only Inalsa product box which was broken when I was received,4.0 out of 5 stars
Reviewed in India on 4 November 2020,Amazon Customer - Ram,Excellent product,"Very easy to use and clean. Made french fries, paneer Tikka, tandoori chicken which all tasted very good and flavourful",5.0 out of 5 stars
Reviewed in India on 15 April 2021,Qais,Best in price ... Nice,Good product at this price.... It's not too bulky and easy to handle,5.0 out of 5 stars
Reviewed in India on 29 November 2020,oshin,Nice product !,"It's easy to operate and easy to clean. I am loving the product. And on able all, air fryer product in itself is amazing and healthier option for everyone.",4.0 out of 5 stars
Reviewed in India on 1 March 2021,Nishandh R,Frying without oil is the most important thing.,Product is really good as it's advisable for health and fitness.. Moreover we can cook almost every favourite fried dishes which we pretend to have for more oil.,4.0 out of 5 stars
Reviewed in India on 13 January 2021,SANDEEP KUMAR PORWAL,air fryer,good quality,5.0 out of 5 stars
Reviewed in India on 6 August 2020,Aruneel Kapoor,Inalsa air fryer rocks,"Awesome product, stay healthy with cooking on this one.. It's amazing product at very decent price.. I bought it at 4320 and trust me its totally worth it...loved this",5.0 out of 5 stars
Reviewed in India on 5 September 2020,vivek ,Excellent product. Value for money,"Product is very easy to use, easy to clean and food tastes perfect.",5.0 out of 5 stars
Reviewed in India on 24 March 2021,Deb,value for money,"nice product with great value, tried few air less frying and quality is reallygood",5.0 out of 5 stars
Reviewed in India on 6 December 2020,Nagpal A,It’s easy to operate,It’s good as oil free products can be prepared,5.0 out of 5 stars
Reviewed in India on 10 August 2020,Amazon Customer,Not satisfied,Release button got stuck inside on the fourth use itself . Handle quality is not satisfactory. Rest fryer works fine .,3.0 out of 5 stars
Reviewed in India on 17 August 2020,imran khan,Damaged product received,The product received was damaged. The temperature control button was broken & not working.. Returned the product. No replacement option was provided.,1.0 out of 5 stars
Reviewed in India on 18 August 2020,Akil I Patel,Value for money product,It’s good product & value for money 👍,4.0 out of 5 stars
Reviewed in India on 13 April 2021,Malvika gupta,Good buy!,Easy to use. Although very small portions cook at once while making fries. Happy with the product otherwise ☺️,4.0 out of 5 stars
Reviewed in India on 29 October 2020,Sudhansu Mohan Gaur,easy to use,easy to use,5.0 out of 5 stars
Reviewed in India on 24 March 2019,Amazon Customer,Great,Nice,5.0 out of 5 stars
Reviewed in India on 10 June 2020,ishan mahajan,Best airfryer,Got the air-fryer at a good price and it is very easy to use. Non veg and veg snacks lover it is a must buy to have a hygienic oil free food,4.0 out of 5 stars
Reviewed in India on 4 October 2020,Murali Krishna Badaballa,Good Product,Good Product,5.0 out of 5 stars
Reviewed in India on 9 August 2020,amit,Awesome in budget,This seems to be very good air fryer within such budget range. Yesterday we prepared french fries it was just like a McDonald's. Really a very good airfire within such price Range,4.0 out of 5 stars
Reviewed in India on 28 October 2020,Amazon Let Down customer!,Too good,It is a good product,5.0 out of 5 stars
Reviewed in India on 24 March 2021,Faiz Ali,Awesome Product,It is an awesome product for all the fitness freak people. I have tried baking also and it is equally satisfactory in that too...,4.0 out of 5 stars
Reviewed in India on 9 November 2020,Barefoot college International,Defected,"The heating doesn't work, unfortunately I opened it 15 days later as I was traveling and kept it open to try. No heating even after an hour, need this replaced asap",1.0 out of 5 stars
Reviewed in India on 29 October 2020,Telluri Reddy,Excellent Under 5k,Nice One. We can cook everything we want from this and it is finest build quality. Just go for it.,4.0 out of 5 stars
Reviewed in India on 21 October 2020,raunaq,Value for Money,"Happy with the product. Food prepared is very tasty, delicious an crispy. THANKYOU .... INALSA AND AMAZON FOR PROVIDING SUCH A GOOD PRODUCT",5.0 out of 5 stars
Reviewed in India on 29 October 2020,Amazon Customer,Value buy..Go for it,tried cooking seekh kabab and loved the taste of the final product. mccain also was easily & well cooked,5.0 out of 5 stars
Reviewed in India on 9 May 2021,Amazon Customer,No mess.no smoke.tastes good,Awesome gadget.performance is as good as any other brand which are far expensive than this.,5.0 out of 5 stars
Reviewed in India on 12 September 2020,Amazon Customer,Convenient and carefree,"The product is easy to use, the only care needed is in cleaning with soft wipes. It meets the purpose in economical way.",4.0 out of 5 stars
Reviewed in India on 11 March 2021,Sam,Excellent product,Very good product...... It's very easy to use and clean..... I highly recommend it,5.0 out of 5 stars
Reviewed in India on 30 August 2019,G S.,Inalsa not reliable,Return window closed. Stopped working after using 3 times in two months of purchase. What will be my fate,1.0 out of 5 stars
Reviewed in India on 12 April 2021,Deepali,Value for money,Its a good product and value for money,5.0 out of 5 stars
Reviewed in India on 21 July 2019,Amazon Customer,Average,We purchased it as gift for someone.....yet delivery was fast....bt the product we received was cracked from one side....not much satisfactory results,3.0 out of 5 stars
Reviewed in India on 22 August 2020,Mani,Excellent retailer and product,Good price and product is worth every penny,5.0 out of 5 stars
Reviewed in India on 19 September 2020,Himanshu Gupta,Good product,I have bought Inalsa air fryer recently. Its easy to use and clean. There is recipe booklet which help us give a good overview about the temperature settings and timing.,5.0 out of 5 stars
Reviewed in India on 17 February 2021,arshid,Amazing product,Amazing product. I like the quality and delivery. Thanks for making my life easy. Arshid,5.0 out of 5 stars
Reviewed in India on 24 April 2021,Sanchit,Amazing product,Good product at this price range. The pan has adequate space to cook larger items as well. Easy to use. Overall pleased with the product,5.0 out of 5 stars
Reviewed in India on 15 April 2021,Maharshi,Good product.,Tried with various frozen food items and works well with less oil usage.,4.0 out of 5 stars
Reviewed in India on 12 November 2020,pradeep Bhasker,Damaged product,Product found damaged on unpacking. No user manual etc. found. Please replace it,1.0 out of 5 stars
Reviewed in India on 8 November 2020,Parul Saini,Worth every penny,"Have used it to cook Smilies, French fries, Cheeze nuggets, and Paneer Tikka. All came out very well.",5.0 out of 5 stars
Reviewed in India on 18 October 2020,Happy,Nice product,Nice product. Does the job well and fairly easy to operate.,4.0 out of 5 stars
Reviewed in India on 11 March 2021,Vaibhav singh,Product box and inner thermacol is broken,This item packaging is broken and its Thermador is also broken in the box,2.0 out of 5 stars
Reviewed in India on 8 February 2020,anie,Not recommended,"After 1 month use , facing switch related issue . Got repaired once but the problem not resolved completely. Will not recommend this product and brand.. kindly arrange for replacement.",1.0 out of 5 stars
Reviewed in India on 10 January 2021,Bhupendra sharma,Was not Working properly,Was not working properly,1.0 out of 5 stars
Reviewed in India on 11 March 2019,Rishi Rai,Value for money,Best air fryer in this segment .excellent performance and value for money.,4.0 out of 5 stars
Reviewed in India on 9 February 2021,deepak,Waste chinese product,It stop working in 6 months...dont buy this chinese product....sure you will disappointed,1.0 out of 5 stars
Reviewed in India on 2 August 2019,vipul taneja,DONT BUY IT,I bought this product on 19th july and it stopped working abruptly after few days(the day I am writing this product the date is 2nd of august).Please go with a better brand like Prestige or Phillip's,1.0 out of 5 stars
Reviewed in India on 30 June 2020,Shrek,Fraudulent and fragile productñ,It's made in China.. whereas it's written the manufacturer is Indian on product description.. I have taken a screenshot of that,1.0 out of 5 stars
Reviewed in India on 31 October 2020,Ravi k.,Easy to handle,Easy to use. But if one follow the recipe from the booklet provided then be careful things can be burned.. Till now found it good for frozen products.,4.0 out of 5 stars
Reviewed in India on 25 July 2020,Atul Patni,Nice product,It is a nice purchase with easy to use functionality and value for money..A better recipe manual would have been great,4.0 out of 5 stars
Reviewed in India on 5 March 2021,Khush,Wonderful experience,Very nice product at this range. Happy to have this. Easy to use and comes with recipe book. Had a try as well. wonderful experience.,4.0 out of 5 stars
Reviewed in India on 29 March 2021,GURKIRAT SINGH PURI,Value for Money,"Excellent product. Easy to use, easy to clean and provides original flavours",5.0 out of 5 stars
Reviewed in India on 25 October 2020,Fahad,"Good product, light weight and easy to clean.",Seems to be nice. I made some readymade fries and cheese triangles. They were fine. Maybe with some practice I'll do better.,4.0 out of 5 stars
Reviewed in India on 24 October 2020,ashutosh sharma,Perfect replacement of deep/shallow frying,Lot's of space inside for cooking. Easy to use. Makes crispy food.,5.0 out of 5 stars
Reviewed in India on 13 August 2020,Bharath Guduri,Instruction Manual & Recipe Book,Doesn't the Air Fryer come with any Instruction Manual & Recipe Book? I just go the Air Fryer along with an Extended Warranty Coupon in a Cardboard Box Package!,2.0 out of 5 stars
Reviewed in India on 13 April 2021,Ankit Gupta,Good prices clean product,Product was received with ease without any complications.. Brand new product.,5.0 out of 5 stars
Reviewed in India on 24 March 2021,Amazon Customer,Check one  in which temperature can be more than 200 degree Celsius,"I used this one for making french fries.it came out well, but was less moist compared to pan fried fries.",4.0 out of 5 stars
Reviewed in India on 9 August 2020,Shalini Jain,Very easy and convenient,Makes live easier as can be operated in the kitchen with fan switched on. The product is easy to use and saves lot of time. I feel it is totally worth its price,5.0 out of 5 stars
Reviewed in India on 12 November 2020,Himanshu,Worst brand,"Inalsa is the worst brand to buy, the product stopped working just after one use.",1.0 out of 5 stars
Reviewed in India on 25 October 2020,Mukesh bhatt,Size is good n easy to clean.,Good looks.. Easy to use.. Easy to clean.. Good size also.,5.0 out of 5 stars
Reviewed in India on 7 December 2020,Vinita,Easy cooking.,"Oil free cooking,easy to use.",4.0 out of 5 stars
Reviewed in India on 23 August 2020,Rohit M.,Very good at this price point,The product is very versatile and doesn't require much oil. Very good at the price point but the plastic is a bit delicate and needs to be handled carefully.,4.0 out of 5 stars
Reviewed in India on 24 March 2021,Mukund Kulkarni,Fo not buy if u are a Vegeterian,Not useful for Vegeterians. Use limited to Making Fries..,3.0 out of 5 stars
Reviewed in India on 20 April 2021,Dushyant Waghmare,Easy to start with,#NAME?,4.0 out of 5 stars
Reviewed in India on 14 February 2021,mukesh chaudhary,Loving it.,It is good product with reasonable price . It is best in market at this price.,5.0 out of 5 stars
Reviewed in India on 2 July 2020,PINTU PAJAI,Excellent product.,Very useful and makes delicious chicken without oil. Temperature settings are good. Space is adequate and does the job perfectly.,5.0 out of 5 stars
Reviewed in India on 3 February 2021,Sankar,Ok,"Air fried chicken tast not good and get smell of heater , quantity also less the Description",2.0 out of 5 stars
Reviewed in India on 5 May 2021,Wahid K.,Paisa wasool,Very good product must buy very reasonable rate eat your favourite food without any tension.,5.0 out of 5 stars
Reviewed in India on 7 May 2021,Rc,Good product,Super useful,5.0 out of 5 stars
Reviewed in India on 29 August 2020,Sumit Dubey,A good purchase.,A good item. A must for people who want to try quick and easy recipe. Taste is also good. Price is also good.,4.0 out of 5 stars
Reviewed in India on 15 September 2020,Amit Bakshi,"Excellent, Go for it","Very good product, modern look, durable build quality and easy to clean.",5.0 out of 5 stars
Reviewed in India on 7 February 2021,Poonam Chaudhary,Must for a healthy lifestyle,Great product to lead a healthier lifestyle. The product is easy to use and clean although I hoped it to be much more compact.,5.0 out of 5 stars
Reviewed in India on 28 October 2020,Reema,No warranty card no recipe book received,Didn't receive warranty card nor recipe book. Only received the air fryer. Seller should take care of all this before packing,1.0 out of 5 stars
Reviewed in India on 10 November 2020,Satish Nayar,Easy to handle & use,I used the product for preparing snacks. The snacks got prepared without any mess or hassle & they were oil free.,5.0 out of 5 stars
Reviewed in India on 22 July 2020,Amazon Customer,Don't go for inalsa air fryer,It's useless . Due to some reason I could not use it before and tried starting it today but it's not operating. I am very disappointed 😞,1.0 out of 5 stars
Reviewed in India on 3 March 2021,Sukhbeer,Useful product,Very useful product....easy to maintain.. Enjoying oil free food,5.0 out of 5 stars
Reviewed in India on 23 October 2020,Tushar Gupta,Good product at right price,The quality of the product is excellent and is available at one of the best rates in this category when compared to other companies.,5.0 out of 5 stars
Reviewed in India on 8 August 2020,Monty,Very nice ultimate product,Ultimate,5.0 out of 5 stars
Reviewed in India on 1 November 2020,Pramod Chandra,Good product,We have been advised by satisfied customers to purchase the product.. We are also satisfied with the performance of the frier.,4.0 out of 5 stars
Reviewed in India on 18 June 2020,ranjan kumar,Warranty issue,"Warranty card is neither fillup nor stamped,,, Cash memo also not provided... This is essential for warranty claims...",5.0 out of 5 stars
Reviewed in India on 26 September 2020,sumit bhutani,Think before buying this priduct,Waste of.money product.. No taste in cooking in this...just show piece only at ur house,1.0 out of 5 stars
Reviewed in India on 9 May 2021,Rohit,Excellwnt product.,Best product under this price.Quality also good. Easy to use and clean.,5.0 out of 5 stars
Reviewed in India on 5 January 2021,Amazon Customer,Must buy if you want to cut oil,This is a must have product if you want to cut on oil. Very easy to use and clean. Taste of food after air frying is very good,5.0 out of 5 stars
Reviewed in India on 19 July 2019,Ruchika Kumar,Very useful product,Very useful product. No frying but yet the taste is same. Crispy food.. Loved this product..,5.0 out of 5 stars
Reviewed in India on 16 July 2019,tanishk g.,Good,"Very nice product. Like it very much, food tastes great as if it’s really fried but without any oil. Easy to use and a must have for every household.",5.0 out of 5 stars
Reviewed in India on 10 July 2019,Priyanka Das Dutta,Nice product,Very happy to buy it. You can actually cook tasty receipees without oil in this.,4.0 out of 5 stars
Reviewed in India on 21 March 2019,Sandeep,Value for money,It's a great and handy product... Easy to install and use... Recommend you all to use it,5.0 out of 5 stars
Reviewed in India on 10 January 2021,jagtar singh,Good product,"Delivered product in good condition.... Easy to operate.... Used for two days now with different stuff , working perfectly",5.0 out of 5 stars
Reviewed in India on 16 September 2020,surendr k.,Airfrier for healthy food,Very useful product. We have been using it almost daily and getting benefits of Oil free foods.,5.0 out of 5 stars
Reviewed in India on 6 October 2019,Vinod,Product didn't powered up,"Received faulty product which didn't powered up, so was not able to test the actual product. Returned it",1.0 out of 5 stars
Reviewed in India on 7 August 2020,Abhishek,Inalsa Air Fryer- Excellent product!!!,Excellent product and Easy to use. First thing we made was potato fries. My 9 year old read the instructions and managed to make them on his own,4.0 out of 5 stars
Reviewed in India on 9 November 2019,Amazon,Value,Value for money,4.0 out of 5 stars
Reviewed in India on 31 March 2021,Manjit Dahiya,Healthful,"The product is easy to use and clean, the flavour of food is nice and it is a nice way to healthy living",5.0 out of 5 stars
Reviewed in India on 18 August 2020,Ankit,Horrible experience,Never suggest anyone for this Air fryer food taste very bad and quality of this product also bad waste of money.,1.0 out of 5 stars
Reviewed in India on 8 August 2020,Sunny Sabnani,Easy to use,Easy to use product,4.0 out of 5 stars
Reviewed in India on 10 August 2020,Kapil Sharma,Faulty product,"it was broken , the handle was lose with no screw and it was opening without any manual efforts. It was free..",2.0 out of 5 stars
Reviewed in India on 1 November 2020,Nitin,Vfm and easy to use,Lovely. Vfm. Easy to use.. Does the job perfectly.. Recommended surely,4.0 out of 5 stars
Reviewed in India on 20 October 2020,Puneet,Excellent and easy to use product,Very good and easy to use product. Rather an excellent product at this price. Nice cooked food without oil..,5.0 out of 5 stars
Reviewed in India on 30 July 2020,Aadi Sachdeva,Brand new airfryer not working,I bought the product yesterday and today it was not working when i turned it on the heating and power light was not working neither the fan,2.0 out of 5 stars
Reviewed in India on 17 August 2020,Raj vardhan Srivastava ,Good to use,Nice Buy,5.0 out of 5 stars
Reviewed in India on 25 July 2020,Aakanksha,Really good and useful product👍🏻,"I really liked the product , it is exactly the same as I ordered and it totally goes with my kitchen. Its a grt deal for the price offered.",5.0 out of 5 stars
Reviewed in India on 8 September 2020,Rob,Dont but better take a brand no customer service,After few cooking. Outer basket is developing a burned mark.. and hard to contact insalsa,2.0 out of 5 stars
Reviewed in India on 26 March 2021,AVira,Good product,"After long use, its a good And stable product for every house hold.",4.0 out of 5 stars
