date_info,name,title,content,rating
Reviewed in India on 8 November 2020,syed,Go for it.,"Am writing this review after 12 days of use.. Made fish fry, Chicken sheek kabab, onion basen pakoda, french fries.. Just marinate and keep inside. Tats it.. Chicken sheek kabab; I used 150 degree. But took so much time. So for next batch kept the temp at 200 degree. It worked wonder.",5.0 out of 5 stars
Reviewed in India on 17 October 2020,TK,(Almost) the perfect airfryer,"I'm reviewing this 3 months after my purchase. I use this every weekend. 90% of usage is to make frozen items like chicken popcorn, nuggets, shami kebabs, and frozen samosas.. The device does a great job of cooking these.. The timer and temperature dials are easy to use. The only problem I've had with the device is that the pan has started to erode in 2 months of light use.. I use a soft sponge to clean it, so that the coating doesn't come off, but in certain parts of the pan rhe coating has come off, which means sometimes food sticks while being cooked",4.0 out of 5 stars
Reviewed in India on 21 September 2020,Amazon Customer,Worst product,Helo I have purchased hairdryer of Inalsa dry light on 24 of August 2020. On 19 August 2020 I was using airfryer first time just opened seal pack and using it but that was not working evening that was on heating up .It's really unknowning a brand new one seal pack air dryer is not working first time .I have spent 6000 rs for the please sort this out for me I have purchased through Amazon. Roopa Saini. 7859891122,1.0 out of 5 stars
Reviewed in India on 18 October 2020,Himansh,Perfect product at perfect prices.,"I wanted to buy an air fryer since long so i bought this inalsa one because i researched alot in the market offline as well as online and many people suggested this one. It is reasonable in price and amazing in quality and also the frying/baking tray is very spacious (2.9L) which is good enough for minimum for a family of 4. It is a very good and healthy alternative for the people like me who love fried food but, are also cautious about their health. I tried alloo tikki in it and it turned out amazing. Crispy on the outside and soft on the inside and the best part was that very very less oil was used. In love with the product. And the delivery service was also very quick. It came early even before the date which was given. And icing on the cake for me was that i bought it in Great Indian Festival sale on Amazon and I got it at an amazing and very reasonable price of Rs 3945. It just wish one thing that they included a grill stand in the box.",5.0 out of 5 stars
Reviewed in India on 21 December 2019,Rumaisa Ali,Good But not Best,"I have not seen other compeny Air fryer so I can not compare ... About this product I make 🍟 but it's not that mark .. uneven cooking was seen , one side of 🥔 was cooked and other raw even though I shake them several times during cooking .. And same was with chicken wings ...",4.0 out of 5 stars
Reviewed in India on 7 February 2020,Amazon Prime Member,Marvellous and trustable product,Excellent product which is very easy to use. Gives delicious taste. Instructions provided by the seller is very helpful. Couldn't imagine such a nice product with this price range.Thanks a lot to Amazon for providing a wonderful product.,4.0 out of 5 stars
Reviewed in India on 26 December 2020,Daisy,Economical and tasty food,"I was not sure whether buying an airfryer would prove useful but I must say the Inalsa airfryer is so easy to use that I am using it nearly everyday. I have made a number of non veg items like chicken Tikka and fish ....awesome. It is also good for French fries, stuffed capsicum and patal, heating up patties and pizzas and roasting nuts. Best of all it is economical compared to other brands.",5.0 out of 5 stars
Reviewed in India on 11 February 2021,garima,Excellent product. Don't think just go for it,Using it for a month now. Good product easy to use solves both the purpose frying and otg.. Absolutely love it 😍.. This is my 3rd Inalsa product. I've been an Inalsa customer for more than 17 years . I have a good processor and still works like a charm.. Don't think twice just go for i t,5.0 out of 5 stars
Reviewed in India on 1 November 2020,AM,Good one,"I did a lot of research before buying an air fryer and finally shortlisted a few. We are a family of 5, so I was most inclined to buy a larger size one. This is one of them on my watchlist.. I grabbed this one during the offer price for less than 4k.. This product really reached my expectations in all aspects. . Easy to use, easy to clean, food taste everything is outstanding.. Con: Only con, for a week or so, I smell the plastic/something in the food, but now after a week or so, this is all good now.. Overall happy with the purchase.",4.0 out of 5 stars
Reviewed in India on 7 September 2020,sandeep kumar,WORTH OF MONEY,"Guys if you are not buying the product only because of lower Price then this is the one product which COST LESS and MORE EFFECTIVE. I am writing this review after a month usage and have no issues. The coating of pan is of non stick and material used is pretty solid. Size of pan is large as compare to other brands.. You can make everything in this Kachori, Namak Pare, Matthi, Stuffed Capsicum , Air frying Potato, Bread Roll , Frozen Food etc.. GO FOR IT",5.0 out of 5 stars
Reviewed in India on 7 July 2019,A,Worst experience,Received a defective product... The customer service of inalsa is very poor.... Registered a complaint at inalsa customer service... There was no response.... I have returned the product...,1.0 out of 5 stars
Reviewed in India on 21 September 2020,Raj,Defective piece was sent,"Please dont but from this seller. Was sent defective piece. Had to go on to a call with customer care for 4 hours to explain the issue. Finally, they asked me to go to a service center to get it repaired as the price of the air fryer is too less to get a technician sent over. In these CoVid times, I had to search for a service center and they took the item for a week to get it repaired. Horrible and disappointing experience. I am sure the item was defective - Do not but from this seller.",1.0 out of 5 stars
Reviewed in India on 24 April 2021,sayan,Way to a sustainable healthy eating!!!,"Was used to oven grilled food while in U.S.. In India, finally, got a worthy substitute to it.. Till now tried chicken, shrimp, fish fillets, broccoli, carrots etc. It came out well and met my expectations. A very good substitute to deep oil fry.. The things I liked the most:. 1. Functionalities are simple to use.. 2. Easy to detach the grill tray and clean.. 3. No bad smell from heating. Quite safe to handle when hot.. 4. Within budget given the usability and health benefits from avoiding deep fry.. TIPS:. 1. Always pre-heat before using. It helps to cook fast.. 2. Always use foil paper n spread some oil on it. Then put your stuffs to grill.",5.0 out of 5 stars
Reviewed in India on 30 April 2021,Tarun Kumar Goyal,Superb Selection,"Made two dishes so far that too without any difficulty. Taste of dishes were very good. Consumption of oil is negligible. Cooking procedure and easy of use convinced me to buy this airfryer.. Pros:. Good space of cooking basket.. Quicker heating.. Easy to clean.. Under 5k.. Less oil consumtion.. Quick response from Inalsa Care.. Con: None.. Initially you might take some time in getting used to of different cooking style. but once you understand time and temp. settings, you can cook many dishes in this air fryer.",5.0 out of 5 stars
Reviewed in India on 23 October 2020,sri,A must product for every kitchen,"Must item for who loves fried food. As I love pakora and chicken fry and who can't eat without fryums, I found this very useful and can eat guilt free.. Love the crispy texture of food. I doubtedly bought this bcoz there are other high priced fryers in market but now feeling happy that I bought this. Very efficient at low price 👍",5.0 out of 5 stars
Reviewed in India on 29 January 2021,Purnima,Happy purchase,"I must say after much analysis of brands with Inalsa air frier I am happy with this purchase. It's really nice, easy to handle, can cook from a papad to soya chaap. Healthy way of cooking over Microwave and deep frying.",5.0 out of 5 stars
Reviewed in India on 27 November 2019,Ria Bhadani,Worst service. Poor quality product.,"The product had a manufacturing defect due to which there was no heating. From past 8 mobths, I have only been chasing the customer support executive, while the product sits useless on my kitchen shelf. I would never recommend anyone to buy this product.",1.0 out of 5 stars
Reviewed in India on 31 October 2020,mukti,Awsm product,"Well, this is my first air fryer.. I must say its a wonderdul product. I made French fries , the very first time nd my kids were super happy. There is a booklet for help regarding temperature control, oil quality nd of ofcourse a few recipes. Now, I can make lot many things using almost no oil nd still crispy nd good taste wise",5.0 out of 5 stars
Reviewed in India on 1 December 2020,R K Gupta,Every household must buy item,My wife is looking for product which is easy to use and clean as this Air fryer she want to use in every 2 to 3 days . Looking to extensive usage this ease in usage and cleaning is key sucess factor . It is really a good on both aspect . We rated as 4.5 out of 5.. Capacity wise it's excellent . After doing lot of reserach on various model we have go with this model. It's cost effectice in comparision of top make and model. It's really value for money . Go for it.. I have written this review after one month of usage .,5.0 out of 5 stars
Reviewed in India on 20 December 2020,Prachi Jain,Good buy,"A very useful and cost effective product. Can be used for various purposes like frying , baking , roasting etc. Moreover french fries of excellent quality can be prepared in 20 odd minutes with 1 tablespoon of oil. Interesting gadget to have at home.. It’s absolutely worth the money!!! If only the heating could have been more than 200 that would have been great but for the price this is really really nice product. But the time taken was more than 20mins. So yes it’s a bit slow but a very good product.",4.0 out of 5 stars
Reviewed in India on 26 October 2020,anshul,"Rust air frier, opened box,","Air frier is just delivered... First of all package was not even sealed by tape. It was delivered opened box.. can't expect this thing from Amazon. I opened and checked it. The lock system is not working, the container comes out without pressing button. The inner container is have rust on the boundaries of container..and at the bottom also. I'm attaching pics of rust... I'm requesting exchange. Let's see if the another product comes right.. I'll update my review. Hope the second product will come genuine.",1.0 out of 5 stars
Reviewed in India on 24 October 2020,Rahul,"Damaged product recieved, weak handle",Original package had a hole on side and the product had broken handle. Received replacement which is working fine. One area of concern (reason for not giving 5 stars) is the handle to the basket is made of plastic and with no reinforcement the handle is very delicate. There is always a fear that it might break. If the handle had some kind of metal reinforcement in center then this fryer is best in its lot.,4.0 out of 5 stars
Reviewed in India on 6 October 2020,khalid parvez,Sturdy but utility product,Useful and but bucket size is small for family of 4. For second serving you have to wait for 20 minutes. Cooks well with a spoon of oil. You have to flip the product to other side and go for second round to get a fully cooked stuff. Bucket remain super hot take all precautions while using it,4.0 out of 5 stars
